Názov knižnice;Typ knižnice;Stav knižnice (F/N/S/Z);Adresa;;;Okres;Kraj;Štatutárny zástupca;Telefón knihovníka/metodika;Web;E-mail inštitúcie
Knižnica Juraja Fándlyho v Trnave;RKK;Fungujúca;Rázusova 1;918 20;Trnava;Trnava;Trnavský;Mgr. Lívia Koleková;335511782;www.kniznicatrnava.sk;kniznica@kniznicatrnava.sk
Knižnica P. O. Hviezdoslava v Prešove;RKK;Fungujúca;Levočská 1;080 01;Prešov;Prešov;Prešovský;Mgr. Marta Skalková;517733009;www.kniznica-poh.sk;kniznica.poh@gmail.com
Verejná knižnica Michala Rešetku v Trenčíne;RKK;Fungujúca;Hasičská 1;911 82;Trenčín;Trenčín;Trenčiansky;Mgr. Lýdia Brezová;327460713;www.vkmr.sk;vkmr@vkmr.sk
Krajská knižnica Ľudovíta Štúra;RKK;Fungujúca;Štúrova 5;960 82;Zvolen;Zvolen;Banskobystrický;Ing. Milota Torňošová;455331863;www.kskls.sk;riaditel@kskls.sk
Malokarpatská knižnica v Pezinku;RKK;Fungujúca;Holubyho 5;902 01;Pezinok;Pezinok;Bratislavský;Mgr. Daniela Tóthová;336413554;www.kniznicapezinok.sk;metodika@kniznicapezinok.sk
Krajská knižnica v Žiline;RKK;Fungujúca;A. Bernoláka 47;011 77;Žilina;Žilina;Žilinský;Mgr. Katarína Šušoliaková;417232745;www.krajskakniznicazilina;kniznica@krajskakniznicazilina.sk
Verejná knižnica Jána Bocatia v Košiciach;RKK;Fungujúca;Hlavná 48;042 61;Košice - Staré Mesto;Košice I;Košický;PhDr. Klára Kernerová;556223291;www.vkjb.sk;vkjb@vkjb.sk
Hornonitrianska knižnica v Prievidzi;regionálna;Fungujúca;Hviezdoslavova 3;971 01;Prievidza;Prievidza;Trenčiansky;Mgr. Silvia Myšiaková;465427298;www.hnkpd.sk;hnkpd@hnkpd.tsk.sk
Tribečská knižnica v Topoľčanoch;regionálna;Fungujúca;Československej armády 28;955 35;Topoľčany;Topoľčany;Nitriansky;Mgr. Mária Kráľová;387463511;www.kniznicatopolcany.sk;tribecska@kniznicatopolcany.sk
Oravská knižnica Antona Habovštiaka v Dolnom Kubíne;regionálna;Fungujúca;S. Nováka 1763/2;026 80;Dolný Kubín;Dolný Kubín;Žilinský;Peter Huba;435862277;www.oravskakniznica.sk;orknizdk@vuczilina.sk
Hornozemplínska knižnica vo Vranove nad Topľou;regionálna;Fungujúca;M. R. Štefánika 875/200;093 01;Vranov nad Topľou;Vranov nad Topľou;Prešovský;Mgr. Emília Antolíková;574464468;www.vthk.sk;hzkvt@vt.psg.sk
Turčianska knižnica v Martine;regionálna;Fungujúca;Divadelná 3;036 01;Martin;Martin;Žilinský;Mgr. Katarína Vandlíková;434133001;www.tkmartin.sk;kniznica@tkmartin.sk
Liptovská knižnica Gašpara Fejérpataky Belopotockého v Liptovskom Mikuláši;regionálna;Fungujúca;Štúrova 56;031 80;Liptovský Mikuláš;Liptovský Mikuláš;Žilinský;Mgr. Marcela Feriančeková;915377939;www.kniznicagfb.sk;kniznicagfb@kniznicagfb.sk
Kysucká knižnica v Čadci;regionálna;Fungujúca;17. novembra 1258;022 01;Čadca;Čadca;Žilinský;PhDr. Blanka Králiková;414334617;www.kniznica-cadca.sk;janka.birova@kniznica-cadca.sk
Podtatranská knižnica v Poprade;regionálna;Fungujúca;Podtatranská 1548/1;058 01;Poprad;Poprad;Prešovský;Mgr. Anna Balejová;527721294;www.kniznicapp.sk;riaditel@kniznicapp.sk
Tekovská knižnica v Leviciach;regionálna;Fungujúca;A. Sládkoviča 2;934 68;Levice;Levice;Nitriansky;Mgr. Jana Holubcová;366312334;www.kniznicalevice.sk;tklevice@kniznicalevice.sk
Vihorlatská knižnica;regionálna;Fungujúca;Námestie slobody 50;066 80;Humenné;Humenné;Prešovský;Ing. Mária Daňová;577763517;www.vkhe.sk;kniznica@vkhe.sk
Považská knižnica v Považskej Bystrici;regionálna;Fungujúca;Štúrova 41/14;017 45;Považská Bystrica;Považská Bystrica;Trenčiansky;Mgr. Viera Baničová;424653514;;kniznica@kniznicapb.sk
Zemplínska knižnica v Trebišove;regionálna;Fungujúca;M. R. Štefánika 53;075 43;Trebišov;Trebišov;Košický;Ing. Janka Vargová;566689010;www.kniznicatv.sk;sluzby@kniznicatv.sk
Žitnoostrovná knižnica;regionálna;Fungujúca;Korzo Bélu Bartóka 788/1;929 01;Dunajská Streda;Dunajská Streda;Trnavský;Mgr. Lýdia Tóthová;315522582;www.kniznicads.sk;zkds@stonline.sk
Spišská knižnica v Spišskej Novej Vsi;regionálna;Fungujúca;Letná 28;052 01;Spišská Nová Ves;Spišská Nová Ves;Košický;PhDr. Jozef Lapšanský, PhD.;534464757;www.spisskakniznica.sk;spisskakniznica@spisskakniznica.sk
Okresná knižnica Dávida Gutgesela;regionálna;Fungujúca;Radničné námestie 1;085 01;Bardejov;Bardejov;Prešovský;Mgr. Ľudmila Jászayová;544722105;www.gutgesel.sk;kniznica@gutgesel.sk
Novohradská knižnica;regionálna;Fungujúca;J. Kármána 2;984 01;Lučenec;Lučenec;Banskobystrický;PhDr. Daša Filčíková;474513237;www.nklc.sk;nklc@nklc.sk
Knižnica Antona Bernoláka v Nových Zámkoch;regionálna;Fungujúca;Turecká 36;940 01;Nové Zámky;Nové Zámky;Nitriansky;Mgr. Ľubica Červená;356400386;www.abkniznica.sk;director@abkniznica.sk
Verejná knižnica Mikuláša Kováča;regionálna;Fungujúca;Lazovná 28;974 01;Banská Bystrica;Banská Bystrica;Banskobystrický;Mgr. Peter Klinec;484124705;www.vkmk.sk;peter.klinec@vkmk.sk
Gemerská knižnica P. Dobšinského;regionálna;Fungujúca;Lipová 3;048 01;Rožňava;Rožňava;Košický;Mgr. Iveta Kyselová;587880919;www.kniznica-rv.sk;kniznica@kniznica-rv.sk
Zemplínska knižnica Gorazda Zvonického;regionálna;Fungujúca;Štefánikova 20;071 01;Michalovce;Michalovce;Košický;PhDr. Alena Vasiľová;566441141;www.zkgz.sk;zkgz@zkgz.sk
Hontiansko-novohradská knižnica A. H. Škultétyho;regionálna;Fungujúca;Nám. A. H. Škultétyho 5;990 01;Veľký Krtíš;Veľký Krtíš;Banskobystrický;Mgr. Zuzana Unzeitigová;474830223;www.hnk-vk.sk;info@hnk-vk.sk
Knižnica Józsefa Szinnyeiho v Komárne;regionálna;Fungujúca;Eötvösa 35;945 33;Komárno;Komárno;Nitriansky;Mgr. Alžbeta Littvová;357725966;www.kjszkom.sk;sekretariat.kniznicakn@mail.t-com.sk
Galantská knižnica;regionálna;Fungujúca;Mierové námestie 4;924 01;Galanta;Galanta;Trnavský;Mgr. Štefan Polák;317802920;www.galantskakniznica.sk;kniznica@galantskakniznica.sk
Knižnica Mateja Hrebendu;regionálna;Fungujúca;Hlavné námestie 8;979 01;Rimavská Sobota;Rimavská Sobota;Banskobystrický;PhDr. Táňa Mikitová;475631049;www.kmh.sk;kniznica@kmh.sk
Ľubovnianska knižnica;regionálna;Fungujúca;Letná 6;064 01;Stará Ľubovňa;Stará Ľubovňa;Prešovský;Mgr. Ivana Šipošova;524322210;www.kniznicasl.sk;kniznica@slnet.sk
Mestská knižnica v Bratislave;regionálna;Fungujúca;Klariská 16;814 79;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Mgr. Juraj Šebesta, PhD.;254433245;www.mestskakniznica.sk;bratislava@mestskakniznica.sk
Knižnica Jána Kollára;regionálna;Fungujúca;Štefánikovo námestie 33/40;967 01;Kremnica;Žiar nad Hronom;Banskobystrický;Ing. Milota Torňošová;456742063;www.kjkk.sk;kniznica@kjkk.sk
Podduklianska knižnica vo Svidníku;regionálna;Fungujúca;8. mája 697/55;089 01;Svidník;Svidník;Prešovský;Mgr. Kamil Beňko;904351273;www.podduklianskakniznica.sk;kniznicask@podduklianskakniznica.sk
Záhorská knižnica;regionálna;Fungujúca;Vajanského 28;905 01;Senica;Senica;Trnavský;Mgr. Katarína Soukupová;346543782;www.zahorskakniznica.eu;soukupova.katarina@zupa-tt.sk
Knižnica pri Ústave zoológie SAV;SAV;Fungujúca;Dúbravská cesta 9;842 06;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;RNDr. Milan Kozánek, CSc.;259302608;;
Knižnica Ústavu biochémie a genetiky živočíchov SAV;SAV;Stagnujúca;Moyzesova 61;900 28;Ivanka pri Dunaji;Senec;Bratislavský;RNDr. Ivan Hapala, CSc.;245943151;;
Knižnica Ústavu divadelnej a filmovej vedy SAV;SAV;Fungujúca;Dúbravská cesta 9;841 04;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;PhDr. Anna Hlaváčová, CSc.;254777193;;
Knižnica pri Ústave experimentálnej fyziky SAV;SAV;Fungujúca;Watsonova 47;040 01;Košice - Sever;Košice I;Košický;Doc. Karol Flachbart, DrSc.;557922229;;
Knižnica Ústavu krajinnej ekológie SAV;SAV;Fungujúca;Štefánikova 3;814 99;Bratislava - Staré Mesto;Bratislava I;Bratislavský;RNDr. Zita Izakovičová, PhD.;220920333;;
Knižnica Filozofického ústavu SAV;SAV;Fungujúca;Klemensova 19;813 64;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Prof. Tibor Pichler, CSc.;252921215;;
Knižnica Ekonomického ústavu SAV;SAV;Fungujúca;Šancová 56;811 05;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Prof. Ing. Milan Šikula, DrSc.;252498214;;
Knižnica Ústavu polymérov SAV;SAV;Fungujúca;Dúbravská cesta 9;845 41;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;Ing. Igor Lacík, DrSc.;232294319;;
Ústavná knižnica - ZIS Parazitologického ústavu;SAV;Fungujúca;Hlinkova 3;040 01;Košice - Sever;Košice I;Košický;Doc. MVDr. Branislav Peťko, CSc.;556334455;;
Knižnica Ústavu etnológie SAV;SAV;Fungujúca;Klemensova 19;814 67;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Mgr. Tatiana Podolinská, PhD.;252964707;;
Knižnica Botanického ústavu SAV;SAV;Fungujúca;Dúbravská cesta 9;845 23;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;RNDr. Ivan Jarolímek, CSc.;259426104;;
Knižnica Ústavu slovenskej literatúry SAV a Ústavu svetovej literatúry SAV;SAV;Fungujúca;Konventná 13;811 03;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Mgr. Dana Hučková, CSc.;254416025;;
Knižnica Ústavu geotechniky SAV;SAV;Fungujúca;Watsonová 45;040 01;Košice - Sever;Košice I;Košický;Ing. Slavomír Hredzák, PhD.;557922656;;
Knižnica Historického ústavu SAV;SAV;Fungujúca;Klemensova 19;814 99;Bratislava -Staré Mesto;Bratislava I;Bratislavský;PhDr. Slavomír Michálek, DrSc.;252925753;;
Knižnica Ústavu ekológie lesa Slovenskej akadémie vied;SAV;Fungujúca;Štúrova 2;960 53;Zvolen;Zvolen;Banskobystrický;Ing. Jozef Váľka, PhD.;455241111;;
Knižnica Ústavu politických vied SAV;SAV;Fungujúca;Dúbravská cesta 9;841 04;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;PhDr. Miroslav Pekník, CSc.;254789724;;
Knižnica Ústavu výskumu sociálnej komunikácie SAV;SAV;Fungujúca;Dúbravská cesta 9;841 04;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;Doc. PhDr. Gabriel Bianchi, CSc.;254775683;;
Knižnica ústavu dejín umenia SAV;SAV;Fungujúca;Dúbravská cesta 9;841 04;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;Doc. PhDr. Ivan Gerát, PhD.;254793819;;
Knižnica Ústavu štátu a práva SAV;SAV;Fungujúca;Klemensova 19;813 64;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Prof. JUDr. Ján Švidroň, CSc.;252962523;;
Knižnica pri Ústave anorganickej chémie SAV;SAV;Fungujúca;Dúbravská cesta 9;845 36;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;Doc. Ing. Miroslav Boča, PhD.;259410432;;
Základné informačné stredisko Ústavu materiálov a mechaniky strojov SAV;SAV;Fungujúca;Račianska 75;831 02;Bratislava - Nové Mesto;Bratislava III;Bratislavský;Ing. Karol Iždinský, CSc.;249268205;;
Knižnica pri Chemickom ústave SAV;SAV;Fungujúca;Dúbravská cesta 9;845 38;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;Ing. Miroslav Koóš, DrSc.;259410225;;
Knižnica Matematického ústavu SAV;SAV;Fungujúca;Štefánikova 49;814 73;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Prof. RNDr. Anatolij Dvurečenskij, DrSc.;257510406;;
Knižnica Slavistického ústavu Jána Stanislava SAV;SAV;Fungujúca;Dúbravská cesta 9;841 04;Bratislava - Dúbravka;Bratislava IV;Bratislavský;Prof. PhDr. Peter Žeňuch, DrSc.;259209411;;
Knižnica Geologického ústavu SAV;SAV;Fungujúca;Dúbravská cesta 9;840 05;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;RNDr. Igor Broska, DrSc.;232293210;;
Knižnica Ústavu stavebníctva a architektúry SAV;SAV;Fungujúca;Dúbravská cesta 9;845 03;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;Ing. Peter Matiašovský, CSc.;259309229;;
Knižnica Ústavu normálnej a patologickej fyziológie SAV;SAV;Fungujúca;Sienkiewiczova 1;813 71;Bratislava - Staré Mesto;Bratislava I;Bratislavský;RNDr. Oľga Pecháňová, DrSc.;232296030;;
Knižnica Ústavu experimentálnej onkológie SAV;SAV;Fungujúca;Vlárska 7;833 91;Bratislava - Nové Mesto;Bratislava III;Bratislavský;RNDr. Ján Sedlák, DrSc.;259327212;;
Knižnica Prognostického ústavu SAV;SAV;Fungujúca;Šancová 56;811 05;Bratislava - Staré Mesto;Bratislava I;Bratislavský;JUDr. Mgr. Martina Lubyová, PhD.;252495300;;
Knižnica Ústavu experimentálnej farmakológie a toxikológie SAV;SAV;Fungujúca;Dúbravská cesta 9;841 04;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;RNDr. Michal Dubovický, CSc.;259410675;;
Knižnica pri Geografickom ústave SAV;SAV;Fungujúca;Štefánikova 49;814 73;Bratislava - Staré Mesto;Bratislava I;Bratislavský;RNDr. Vladimír Ira, CSc.;257510184;;
Knižnica pri Ústave experimentálnej psychológie SAV;SAV;Fungujúca;Dúbravská cesta 9;841 04;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;Prof. PhDr. Viera Bačová, DrSc.;254775625;;
Knižnica Ústavu fyziológie hospodárskych zvierat SAV;SAV;Fungujúca;Šoltésovej 4 - 6;040 01;Košice - Juh;Košice IV;Košický;Doc. MVDr. Štefan Faix, DrSc.;557276283;;
Knižnica spoločenskovedného ústavu SAV;SAV;Fungujúca;Karpatská 5;040 01;Košice - Staré Mesto;Košice I;Košický;Mgr. Michal Kentoš, PhD.;556255856;;
Základné informačné stredisko Geofyzikálneho ústavu SAV;SAV;Fungujúca;Dúbravská cesta 9;845 28;Bratisloava - Karlova Ves;Bratislava IV;Bratislavský;RNDr. Ladislav Brimich, CSc.;259309292;;
Knižnica Astronomického ústavu SAV;SAV;Fungujúca;Tatranská Lomnica;059 60;Vysoké Tatry;Poprad;Prešovský;RNDR. Aleš Kučera, CSc.;527879159;;
Knižnica pri Neurobiologickom ústave SAV;SAV;Fungujúca;Šoltésovej 4 - 6;040 01;Košice - Juh;Košice IV;Košický;RNDr. Nadežda Lukáčová, DrSc.;557276203;;
Knižnica Fyzikálneho ústavu SAV;SAV;Fungujúca;Dúbravská cesta 9;845 11;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;RNDr. Stanislav Hlaváč, CSc.;259410509;;
Knižnica pri Útvare vedeckých informácií - Virologický ústav SAV;SAV;Fungujúca;Dúbravská cesta 9;845 05;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;MVDr. Juraj Kopáček, DrSc.;259302414;;
Knižnica Ústavu merania SAV;SAV;Fungujúca;Dúbravská cesta 9;841 04;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;Doc. Ing. Milan Tyšler, CSc.;259104577;;
Knižnica Archeologického ústavu SAV;SAV;Fungujúca;Akademická 2;949 21;Nitra;Nitra;Nitriansky;PhDr. Matej Ruttkay, CSc.;376943209;;
Knižnica pri Ústave hudobnej vedy SAV;SAV;Fungujúca;Dúbravská cesta 9;841 04;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;PhDr. Hana Urbancová, DrSc.;254773589;;
Knižnica Ústavu orientalistiky SAV;SAV;Fungujúca;Klemensova 19;813 64;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Mgr. Dušan Magdolen, PhD.;252926326;;
Knižnica Ústavu materiaálového výskumu SAV;SAV;Fungujúca;Watsonova 47;040 01;Košice - Sever;Košice I;Košický;RNDr. Peter Ševc, PhD.;557922409;;
Knižnica Jazykovedného ústavu Ľ. Štúra SAV;SAV;Fungujúca;Panská 26;811 01;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Prof. PhDr. Pavol Žigo, CSc.;254431761;;
Knižnica Elektrotechnického ústavu SAV;SAV;Fungujúca;Dúbravská cesta 9;841 04;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;RNDr. Vladimír Cambel, DrSc.;259222908;;
Knižnica pri Ústave hydrológie SAV;SAV;Fungujúca;Račianska 75;831 02;Bratislava - Nové Mesto;Bratislava III;Bratislavský;RNDr. Pavla Pekárová, DrSc.;249268294;;
Knižnica Sociologického ústavu SAV;SAV;Fungujúca;Klemensova 19;813 64;Bratislava - Staré Mesto;Bratislava I;Bratislavský;Mgr. Robert Klobucký, PhD.;252964355;;
Knižnica Ústavu informatiky SAV;SAV;Fungujúca;Dúbravská cesta 9;845 07;Bratislava - Karlova Ves;Bratislava IV;Bratislavský;Doc. Ing. Ladislav Hluchý, CSc.;259411204;;
Knižnica Ústavu genetiky a biotechnológií rastlín SAV;SAV;Zrušená;Akademická 2;950 07;Nitra;Nitra;Nitriansky;;376943324;;
Mestská knižnica;mestská;Stagnujúca;Tyršova 12;073 01;Sobrance;Sobrance;Košický;Ing. Štefan Staško;566522210;;sekretariat@sobrance.sk
Mestská knižnica;mestská;Fungujúca;Družstevná 509;072 22;Strážske;Michalovce;Košický;Ing. Vladimír Dunajčák;566477814;;strazske@strazske.sk
Mestská knižnica;mestská;Fungujúca;Dolná 25;966 81;Žarnovica;Žarnovica;Banskobystrický;Kamil Danko;453212410;;primator@zarnovica.eu
Mestská knižnica;mestská;Fungujúca;Andreja Kmeťa 11;968 01;Nová Baňa;Žarnovica;Banskobystrický;Mgr. Ján Havran;456857742;;msu@novabana.sk
Kultúrno - informačné centrum Veľký Šariš;mestská;Fungujúca;Námestie sv. Jakuba 1;082 21;Veľký Šariš;Prešov;Prešovský;Mgr. Katarína Pirohová;517762233;;kic.velkysaris@gmail.com
Mestská knižnica;mestská;Fungujúca;Námestie sv. Trojice 3;969 00;Banská Štiavnica;Banská Štiavnica;Banskobystrický;Mgr. Nadežda Babiaková;452909035;;msu@banskastiavnica.sk
Mestská knižnica;mestská;Fungujúca;Mieru 1020/3;014 01;Bytča;Bytča;Žilinský;Miroslav Minárčik;415532294;www.kniznicabytca.webnode.sk;primator@bytca.sk
Svätojurská knižnica;mestská;Fungujúca;Prostredná 40;900 21;Svätý Jur;Pezinok;Bratislavský;Marián Grančič;908218456;;svatojurska@svatyjur.sk
Kultúrne centrum mesta Nováky, n. o. - Mestská knižnica;mestská;Fungujúca;M. R. Štefánika 9;972 71;Nováky;Prievidza;Trenčiansky;Mgr. Dana Horná;465461180;;kcmn@kcmn.sk
Mestská knižnica Čierna nad Tisou;mestská;Fungujúca;Dukelských hrdinov 141;076 43;Čierna nad Tisou;Trebišov;Košický;Ing. Marta Vozáriková;566872201;;mesto@ciernanadtisou.sk
Mestská knižnica Tlmače;mestská;Fungujúca;Námestie odborárov 5;935 21;Tlmače;Levice;Nitriansky;Lucia Kúdelová;905791408;;lucia.kudelova@mestotlmace.sk
Mestská knižnica Krompachy;mestská;Fungujúca;Námestie slobody 2;053 42;Krompachy;Spišská Nová Ves;Košický;Ing. Iveta Rušinová;534472530;www.kniznicakrompachy.webnode.sk;jan.znanec@krompachy.sk
Mestslá knižnica Ružomberok;mestská;Fungujúca;Podhora 33;034 01;Ružomberok;Ružomberok;Žilinský;Ing. Tatiana Babincová;444322005;www.kniznicark.sk;info@kniznicark.sk
Mestská knižnica Sečovce;mestská;Fungujúca;Obchodná 164/58;078 01;Sečovce;Trebišov;Košický;MVDr. Jozef Gamrát;566782406;;primator@secovce.sk
Mestská knižnica Hanušovce nad Topľou;mestská;Fungujúca;Mierová 333/3;094 31;Hanušovce nad Topľou;Vranov nad Topľou;Prešovský;Štefan Straka;902970857;;sekretariat@hanusovce.sk
Mestská knižnica Kristíny Royovej;mestská;Fungujúca;Štefánikova 378/55;916 01;Stará Turá;Nové Mesto nad Váhom;Trenčiansky;Eva Adámková;327763360;;dkstaratura@zoznam.sk
Mestská knižnica pri MsKS;mestská;Fungujúca;Námestie SNP 2/2;015 01;Rajec;Žilina;Žilinský;Anna Tordová;415424703;;anna.tordova@rajec.net
Hradné múzeum vo Fiľakove - Mestská knižnica vo Fiľakove;mestská;Fungujúca;Hlavná 14;986 01;Fiľakovo;Lučenec;Banskobystrický;Mgr. Attila Agócs;474381665;;hradnemuzeum@filakovo.sk
Knižnica prof. Štefana Pasiara v Hnúšti;mestská;Fungujúca;Hlavná 377;981 01;Hnúšťa;Rimavská Sobota;Banskobystrický;Jaroslav Piliarik;475423472;;msks@hnusta.org
Mestská knižnica Handlová;mestská;Fungujúca;Námestie baníkov 3;972 51;Handlová;Prievidza;Trenčiansky;Mgr. Daniela Mikulášová;465475449;www.handlova.sk/web/mk;kniznicaha@szm.sk
Mestská knižnica v Poltári;mestská;Fungujúca;Družby 483/16;987 01;Poltár;Poltár;Banskobystrický;Pavel Gavalec;474223714;;mesto@poltar.sk
Mestská knižnica Spišské Vlachy;mestská;Fungujúca;SNP 34;053 61;Spišské Vlachy;Spišská Nová Ves;Košický;Ľubomír Fifik;534174220;www.spisskevlachy.sk;msuspv@spisskevlachy.sk
Knižnica Mestského kultúrneho strediska Sabinov;mestská;Fungujúca;Janka Borodáča 18;083 01;Sabinov;Sabinov;Prešovský;Mgr. Lucia Mihoková;911612573;www.kulturnestredisko.sk;kniznica.msks@ivosoft.net
Mestské kultúrne stredisko - Mestská knižnica Veľký Meder;mestská;Fungujúca;Komárňanská 18;932 01;Veľký Meder;Dunajská Streda;Trnavský;Ladislav Gútay;315552360;;msks@nextra.sk
Mestská knižnica vo Vrbovom;mestská;Fungujúca;Komenského 1119/2;922 03;Vrbové;Piešťany;Trnavský;Ing. Ján Jánoška;337308838;;primator@vrbove.sk
Dom kultúry v Námestove - Knižnica;mestská;Fungujúca;Štefánikova 208/7;029 01;Námestovo;Námestovo;Žilinský;Bc. Eva Mušáková;435522819;;sekretariat@namestovo.sk
Mestské kultúrne stredisko mesta Levoča - Levočská mestská knižnica;mestská;Fungujúca;Námestie Majstra Pavla 54;054 01;Levoča;Levoča;Prešovský;Mgr. Ingrid Kamenická;534512202;www.lmk.levoca.sk;msks@levoca.sk
Mestská knižnica Turzovka;mestská;Fungujúca;Jašíkova 179;023 54;Turzovka;Čaadca;Žilinský;Agáta Machovčáková;414352308;www.kulturaturzovka.eu;kultura@turzovka.sk
Mestská knižnica v Tvrdošíne;mestská;Fungujúca;Radničná 123/1;027 44;Tvrdošín;Tvrdošín;Žilinský;Ing. Ivan Šaško;435322576;;primator@tvrdosin.sk
Mestská knižnica v Prievidzi;mestská;Fungujúca;F. Madvu 11;971 01;Prievidza;Prievidza;Trenčiansky;Mgr. Petra Štefániková;904752760;www.kasspd.sk;kasspd@prievidza.sk
Mestská knižnica Hany Zelinovej;mestská;Fungujúca;1. čsl. brigády 24/A;038 61;Vrútky;Martin;Žilinský;Ing. Miroslav Mazur;434281219;;primator@vrutky.sk
Knižnica Bratislava - Nové Mesto;mestská;Fungujúca;Pionierska 12;831 02;Bratislava - Nové Mesto;Bratislava III;Bratislavský;Mgr. Jana Vozníková;244458062;www.kbnm.sk;kbnm@kbnm.sk
Mestská umelecká agentúra Partizánske;mestská;Fungujúca;Družstevná 1280/18;958 01;Partizánske;Partizánske;Trenčiansky;Mgr. Martina Baboľová;915912994;;kniznica@muap.sk
Miestna knižnica Petržalka;mestská;Fungujúca;Kutlíkova 17;851 02;Bratislava - Petržalka;Bratislava V;Bratislavský;PhDr. Katarína Bergerová;262520189;www.kniznicapetrzalka.sk;riaditelka@kniznicapetrzalka.sk
Mestská knižnica;mestská;Fungujúca;Námestie SNP 483;049 16;Jelšava;Revúca;Banskobystrický;MVDr. Milan Kolesár;584482062;;primator@jelsava.sk
Mestská knižnica Medzev;mestská;Fungujúca;Kováčska 14;044 25;Medzev;Košice - okolie;Košický;Ing. Jaroslav Stehlik;918878511;;msks@medzev.sk
Mestské kultúrne stredisko - Mestská knižnica Tornaľa;mestská;Fungujúca;Hlavné námestie 6;982 01;Tornaľa;Revúca;Banskobystrický;Mgr. Gábor Pusko;475524505;;tom.mks@stonline.sk
Kultúrne stredisko Miklósa Konkoly - Thege Hurbanovo - Konkoly - Thege Miklós Műveldődési Központ;mestská;Fungujúca;Železničná 3;947 01;Hurbanovo;Komárno;Nitriansky;Bc. Margita Lelovičová;357602970;;kshurbanovo@gmail.com
